"","Feeding_type_lifestage","Intercept","Slope","Rsquared","fvalue","pvalue"
"1","planktivorous adult",26967.7354654314,152.795681507931,0.0148266421747683,2.34776566062414,0.127
"2","planktivorous juvenile",2.25196721311474,6557.37704918046,1,NA,NA
"3","planktivorous larva",0.149952307811492,-0.125540385475094,0.000229535758135438,0.234868991404557,0.628
"4","planktivorous larva/juvenile",0.412017531898669,100348.136755092,0.0281834521378093,3.42209376818833,0.067
"5","planktivorous postlarva/juvenile",0.153516129748767,21012.870102476,0.0763315504427213,21.65156363799,0
"6","predacious adult",14022.5769795346,86.6733851893621,0.076096790112405,653.067813104219,0
"7","predacious juvenile",1477.0669778648,72.5276909974529,0.0702164807756492,158.590259538988,0
"8","predacious larva",0.107758676365578,16253.0221597406,0.321359300269679,572.975881760158,0
"9","predacious larva/juvenile",1.51278179933139,164.216226022138,0.126808753413814,70.4338776254893,0
"10","predacious postlarva",0.133502073567387,-0.00861452759101591,0.0105760559264123,0.748237314533598,0.39
"11","predacious postlarva/juvenile",0.565541752418578,1.74618988244161,0.046276154857748,28.5306686992787,0
"12","piscivorous adult",18859.8842209802,59.1262314720646,0.021536869262521,389.54918201242,0
"13","piscivorous juvenile",5510.17020640088,10.2848479190317,0.00959947808315518,29.339261757932,0
"14","piscivorous larva/juvenile",9.86483143239672,172.511898493461,0.232313578702393,2.72353678574574,0.133
"15","piscivorous postlarva",0.133502073567387,0.582050921513236,0.605743142370175,47.6289430356757,0
"16","piscivorous postlarva/juvenile",NA,NA,NA,NA,NA
"17","insectivorous larva/juvenile",-3.45975627178893,81.1591380069622,0.621254577117463,49.2088780154159,0
"18","predacious/piscivorous adult",503.058942134918,11.949120671082,0.194433583643607,38.3766492391315,0
